"file","year","month","tmax","tmin","ppt"
"tmax_4kmM2_200211","2002","11",12.2936364087192,NA,NA
"tmax_4kmM2_200212","2002","12",6.61454551870173,NA,NA
"tmax_4kmM2_200301","2003","01",3.07636358521201,NA,NA
"tmax_4kmM2_200302","2003","02",4.16909089955417,NA,NA
"tmax_4kmM2_200303","2003","03",13.8472727862271,NA,NA
"tmax_4kmM2_200304","2003","04",18.2445453297008,NA,NA
"tmax_4kmM2_200305","2003","05",20.2972727688876,NA,NA
"tmax_4kmM2_200306","2003","06",26.0345457250422,NA,NA
"tmax_4kmM2_200307","2003","07",30.1109090284868,NA,NA
"tmax_4kmM2_200308","2003","08",30.2809091047807,NA,NA
"tmax_4kmM2_200309","2003","09",25.7363636710427,NA,NA
"tmax_4kmM2_200310","2003","10",18.908182144165,NA,NA
"tmax_4kmM2_200311","2003","11",16.7163635600697,NA,NA
"tmax_4kmM2_200312","2003","12",8.04818170720881,NA,NA
"tmax_4kmM2_200401","2004","01",3.2690908908844,NA,NA
"tmax_4kmM2_200402","2004","02",7.14727263017134,NA,NA
"tmax_4kmM2_200403","2004","03",14.4581818147139,NA,NA
"tmax_4kmM2_200404","2004","04",18.4918181679466,NA,NA
"tmax_4kmM2_200405","2004","05",27.5727273767645,NA,NA
"tmax_4kmM2_200406","2004","06",27.6063638166948,NA,NA
"tmax_4kmM2_200407","2004","07",29.8799998543479,NA,NA
"tmax_4kmM2_200408","2004","08",28.8045454892245,NA,NA
"tmax_4kmM2_200409","2004","09",26.2427271062678,NA,NA
"tmax_4kmM2_200410","2004","10",18.9009090770375,NA,NA
"tmax_4kmM2_200411","2004","11",15.3081819360906,NA,NA
"tmax_4kmM2_200412","2004","12",8.88999982313676,NA,NA
"tmax_4kmM2_200501","2005","01",6.21818182685158,NA,NA
"tmax_4kmM2_200502","2005","02",9.07090915333141,NA,NA
"tmax_4kmM2_200503","2005","03",10.0099999687888,NA,NA
"tmax_4kmM2_200504","2005","04",19.5500002774325,NA,NA
"tmax_4kmM2_200505","2005","05",21.5500001040372,NA,NA
"tmax_4kmM2_200506","2005","06",28.8272724151611,NA,NA
"tmax_4kmM2_200507","2005","07",31.2563637820157,NA,NA
"tmax_4kmM2_200508","2005","08",30.8381817557595,NA,NA
"tmax_4kmM2_200509","2005","09",29.3172728798606,NA,NA
"tmax_4kmM2_200510","2005","10",19.6181817488237,NA,NA
"tmax_4kmM2_200511","2005","11",15.5400000485507,NA,NA
"tmax_4kmM2_200512","2005","12",6.20272723111239,NA,NA
"tmax_4kmM2_200601","2006","01",10.7336364225908,NA,NA
"tmax_4kmM2_200602","2006","02",8.19090903889049,NA,NA
"tmax_4kmM2_200603","2006","03",13.4627271999012,NA,NA
"tmax_4kmM2_200604","2006","04",21.1727274114435,NA,NA
"tmax_4kmM2_200605","2006","05",23.611818486994,NA,NA
"tmax_4kmM2_200606","2006","06",28.6499999653209,NA,NA
"tmax_4kmM2_200607","2006","07",31.6590909090909,NA,NA
"tmax_4kmM2_200608","2006","08",31.9736364538019,NA,NA
"tmax_4kmM2_200609","2006","09",23.912727355957,NA,NA
"tmax_4kmM2_200610","2006","10",18.7345452742143,NA,NA
"tmax_4kmM2_200611","2006","11",14.743636304682,NA,NA
"tmax_4kmM2_200612","2006","12",12.2427272796631,NA,NA
"tmax_4kmM2_200701","2007","01",8.87000005895441,NA,NA
"tmax_4kmM2_200702","2007","02",2.89181813326749,NA,NA
"tmax_4kmM2_200703","2007","03",14.3909091082486,NA,NA
"tmax_4kmM2_200704","2007","04",16.8136360862038,NA,NA
"tmax_4kmM2_200705","2007","05",25.5845454822887,NA,NA
"tmax_4kmM2_200706","2007","06",29.4627274599942,NA,NA
"tmax_4kmM2_200707","2007","07",31.3345458290794,NA,NA
"tmax_4kmM2_200708","2007","08",31.6545453505083,NA,NA
"tmax_4kmM2_200709","2007","09",28.4063635739413,NA,NA
"tmax_4kmM2_200710","2007","10",24.2036365162243,NA,NA
"tmax_4kmM2_200711","2007","11",13.5018183101307,NA,NA
"tmax_4kmM2_200712","2007","12",8.04454539038918,NA,NA
"tmax_4kmM2_200801","2008","01",7.51090899380771,NA,NA
"tmax_4kmM2_200802","2008","02",8.92818182164972,NA,NA
"tmax_4kmM2_200803","2008","03",13.7963634837757,NA,NA
"tmax_4kmM2_200804","2008","04",19.3799998543479,NA,NA
"tmax_4kmM2_200805","2008","05",22.6754543998025,NA,NA
"tmax_4kmM2_200806","2008","06",30.5863638791171,NA,NA
"tmax_4kmM2_200807","2008","07",31.1636366410689,NA,NA
"tmax_4kmM2_200808","2008","08",29.368181922219,NA,NA
"tmax_4kmM2_200809","2008","09",26.7581816586581,NA,NA
"tmax_4kmM2_200810","2008","10",19.6136365370317,NA,NA
"tmax_4kmM2_200811","2008","11",12.3299999237061,NA,NA
"tmax_4kmM2_200812","2008","12",8.6890909021551,NA,NA
"tmax_4kmM2_200901","2009","01",3.43636363202875,NA,NA
"tmax_4kmM2_200902","2009","02",9.29636348377575,NA,NA
"tmax_4kmM2_200903","2009","03",12.0763636502353,NA,NA
"tmax_4kmM2_200904","2009","04",19.4572724429044,NA,NA
"tmax_4kmM2_200905","2009","05",23.0799997503107,NA,NA
"tmax_4kmM2_200906","2009","06",28.0327271548184,NA,NA
"tmax_4kmM2_200907","2009","07",29.5863635323264,NA,NA
"tmax_4kmM2_200908","2009","08",31.3281818736683,NA,NA
"tmax_4kmM2_200909","2009","09",25.3872727480802,NA,NA
"tmax_4kmM2_200910","2009","10",18.6790910200639,NA,NA
"tmax_4kmM2_200911","2009","11",14.9945454163985,NA,NA
"tmax_4kmM2_200912","2009","12",6.46181817488237,NA,NA
"tmax_4kmM2_201001","2010","01",5.29636361382224,NA,NA
"tmax_4kmM2_201002","2010","02",3.58181814713912,NA,NA
"tmax_4kmM2_201003","2010","03",14.4045454372059,NA,NA
"tmax_4kmM2_201004","2010","04",21.714545510032,NA,NA
"tmax_4kmM2_201005","2010","05",25.1581817973744,NA,NA
"tmax_4kmM2_201006","2010","06",31.3427274877375,NA,NA
"tmax_4kmM2_201007","2010","07",32.89727193659,NA,NA
"tmax_4kmM2_201008","2010","08",30.5045453851873,NA,NA
"tmax_4kmM2_201009","2010","09",28.6409091949463,NA,NA
"tmax_4kmM2_201010","2010","10",20.7690909992565,NA,NA
"tmax_4kmM2_201011","2010","11",14.0909090909091,NA,NA
"tmax_4kmM2_201012","2010","12",4.26272728226402,NA,NA
"tmax_4kmM2_201101","2011","01",3.63727274808017,NA,NA
"tmax_4kmM2_201102","2011","02",9.18090907010165,NA,NA
"tmax_4kmM2_201103","2011","03",13.2518180500377,NA,NA
"tmax_4kmM2_201104","2011","04",20.2372726093639,NA,NA
"tmax_4kmM2_201105","2011","05",25.0981819846413,NA,NA
"tmax_4kmM2_201106","2011","06",30.5927271409468,NA,NA
"tmax_4kmM2_201107","2011","07",33.5627274946733,NA,NA
"tmax_4kmM2_201108","2011","08",30.9618181748824,NA,NA
"tmax_4kmM2_201109","2011","09",25.4099998474121,NA,NA
"tmax_4kmM2_201110","2011","10",19.2027274045077,NA,NA
"tmax_4kmM2_201111","2011","11",16.5072728070346,NA,NA
"tmax_4kmM2_201112","2011","12",10.7863637750799,NA,NA
"tmax_4kmM2_201201","2012","01",8.76636383750222,NA,NA
"tmax_4kmM2_201202","2012","02",11.0954546494917,NA,NA
"tmax_4kmM2_201203","2012","03",18.6463640386408,NA,NA
"tmax_4kmM2_201204","2012","04",19.6099999167702,NA,NA
"tmax_4kmM2_201205","2012","05",26.1990907842463,NA,NA
"tmax_4kmM2_201206","2012","06",29.0627269744873,NA,NA
"tmax_4kmM2_201207","2012","07",33.2036361694336,NA,NA
"tmax_4kmM2_201208","2012","08",30.7081819014116,NA,NA
"tmax_4kmM2_201209","2012","09",26.926363511519,NA,NA
"tmax_4kmM2_201210","2012","10",20.1636361208829,NA,NA
"tmax_4kmM2_201211","2012","11",11.5018183101307,NA,NA
"tmax_4kmM2_201212","2012","12",10.5827272588556,NA,NA
"tmax_4kmM2_201301","2013","01",7.66909092122858,NA,NA
"tmax_4kmM2_201302","2013","02",6.60363630814986,NA,NA
"tmax_4kmM2_201303","2013","03",9.79000004855069,NA,NA
"tmax_4kmM2_201304","2013","04",19.9900001179088,NA,NA
"tmax_4kmM2_201305","2013","05",23.2990909923207,NA,NA
"tmax_4kmM2_201306","2013","06",28.6390909715132,NA,NA
